Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents)
"PERMANENT HOSPICE, INC",3715 MARKET ST SUITE 116,GLENDALE,CA,91208,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PERMIAN REGIONAL MEDICAL CENTER HOME HEALTH,1801 NE MUSTANG DRIVE,ANDREWS,TX,79714,Not Available,20.0,0.0,0.0,0.0,58.3,8.0,31.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,11.3,Not Available,"7,041",13.4,91.7
"PERPETUAL CARE HOSPICE, INC","1985 YOSEMITE AVENUE, SUITE #250",SIMI VALLEY,CA,93063,100.0,0.0,0.0,0.4,8.0,59.2,10.0,16.3,86.8,100.0,90.0,89.4,99.1,100.0,56.0,14.7,Not Available,"14,614",15.6,99.4
"PERPETUAL DAYS HOSPICE, INC",21151 S WESTERN AVE SUITE 284,TORRANCE,CA,90501,100.0,0.0,0.0,0.0,1.8,86.1,5.0,Not Available,94.2,99.3,100.0,96.0,97.8,100.0,23.0,8.1,Not Available,"26,928",13.9,50.0
"PERPETUAL HELP HOSPICE OF NEVADA, LLC",2235 E FLAMINGO ROAD STE 218,LAS VEGAS,NV,89119,100.0,10.0,1.4,0.0,15.7,82.4,7.0,24.3,86.0,100.0,98.0,91.7,100.0,100.0,25.7,8.6,Not Available,"18,232",13.5,65.1
"PERPETUAL HELP HOSPICE, INC",20847 SHERMAN WAY STE 249,WINNETKA,CA,91306,100.0,0.0,0.0,0.0,5.0,92.1,6.0,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,50.0,8.3,Not Available,"31,031",9.2,50.0
"PERSONAL CARE HOSPICE SERVICES, INC.",2318 W BURBANK BLVD,BURBANK,CA,91506,100.0,10.9,1.8,0.5,12.7,66.7,10.0,37.8,95.9,100.0,100.0,95.0,100.0,100.0,52.7,9.2,Not Available,"23,878",4.6,94.2
PERSONAL HOME HEALTHCARE AND HOSPICE,233 MAIN STREET,BLAKELY,PA,18447,100.0,28.6,0.0,0.0,14.3,69.8,5.0,22.2,91.9,100.0,100.0,Not Available,100.0,100.0,35.7,7.9,Not Available,"18,758",3.8,75.8
PERSONAL TOUCH HOME CARE & HOSPICE-NEWPORT NEWS,"11817 CANON BLVD, SUITE 300",NEWPORT NEWS,VA,23606,100.0,0.0,0.0,0.0,0.0,79.8,9.0,45.3,100.0,100.0,100.0,100.0,100.0,100.0,31.3,8.6,100.0,"10,411",11.6,91.4
"PERSONAL TOUCH HOSPICE CARE, INC",17547 VENTURA BLVD. SUITE 302A,ENCINO,CA,91316,Not Available,2.7,2.7,0.1,2.7,90.7,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.2,7.5,Not Available,"26,667",18.6,25.0
PETERSON HOSPICE,250 CULLY DRIVE,KERRVILLE,TX,78028,100.0,1.0,0.0,0.1,4.8,66.2,10.0,77.6,96.1,99.3,99.5,99.7,97.3,100.0,36.2,10.7,100.0,"14,432",9.1,95.8
PHELPS HEALTH HOME HEALTH AND HOSPICE,1500 E STATE HIGHWAY 72,ROLLA,MO,65401,99.4,5.3,5.3,0.0,13.2,36.0,8.0,66.3,91.7,97.6,99.0,91.2,99.4,100.0,23.7,20.3,100.0,"9,730",13.7,93.2
PHHC OF NEVADA LLC,3037 E. WARM SPRINGS RD STE 300A,LAS VEGAS,NV,89120,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PHOEBE HOSPICE,320 FOUNDATION LANE,ALBANY,GA,31707,99.7,12.0,0.0,1.9,8.4,83.4,9.0,35.4,98.6,100.0,98.4,98.8,99.8,99.8,34.9,9.1,100.0,"10,736",9.6,86.8
PHOEBE SUMTER HOSPICE,126 EAST FURLOW STREET,AMERICUS,GA,31709,98.7,10.8,2.7,0.1,5.4,35.9,10.0,94.7,89.0,100.0,100.0,97.1,93.5,100.0,32.4,23.8,89.7,"7,847",13.7,100
PHOENIX HOME CARE & HOSPICE,3450 N ROCK ROAD STE 213,WICHITA,KS,67226,99.2,9.4,2.3,1.2,11.7,8.2,10.0,77.9,95.1,99.2,98.9,99.9,99.6,99.8,42.2,15.9,94.8,"9,268",8.7,98.1
PHOENIX HOME CARE AND HOSPICE,14330 EAST 42ND STREET SOUTH,INDEPENDENCE,MO,64055,97.2,12.0,2.4,0.0,6.0,38.6,10.0,64.9,92.1,99.2,96.5,99.0,97.6,98.4,50.6,13.6,100.0,"15,390",6.1,93.0
PHOENIX HOME CARE AND HOSPICE,"1839 E INDEPENDENCE STREET, STE K",SPRINGFIELD,MO,65804,99.7,9.2,2.8,0.0,5.7,11.0,10.0,73.8,97.9,99.9,98.4,99.0,99.3,99.9,33.3,20.0,100.0,"8,895",10.7,96.3
PHOENIX HOME CARE AND HOSPICE,2088 CRAIGSHIRE ROAD,SAINT LOUIS,MO,63146,98.3,33.3,0.0,0.0,16.7,17.6,7.0,63.0,98.3,100.0,100.0,Not Available,100.0,100.0,33.3,18.4,100.0,"13,483",9.1,90.9
PHOENIX HOME CARE AND HOSPICE,500 BROADWAY,JEFFERSON CITY,MO,65101,94.8,12.0,0.0,0.2,8.0,20.4,10.0,71.1,90.3,100.0,94.7,100.0,99.4,100.0,24.0,18.1,96.5,"10,041",11.5,97.1
PHOENIX HOME CARE AND HOSPICE,6803 WEST 64TH STREET. SUITE 101,OVERLAND PARK,KS,66202,98.9,9.1,1.8,0.0,6.1,30.6,10.0,66.6,94.0,99.6,96.1,99.1,100.0,99.8,41.2,14.9,88.9,"13,248",7.2,94.8
PHR OF BALTIMORE,"1501 S EDGEWOOD STREET, SUITE A",BALTIMORE,MD,21227,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PHS HOSPICE CARE,8315 LEE HIGHWAY SUITE 202,FAIRFAX,VA,22031,Not Available,12.8,0.0,0.4,5.1,75.6,8.0,11.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51.3,8.7,Not Available,"18,136",2.4,65.7
PHYSICIAN'S CHOICE HOSPICE LLC,1535 W MERCED AVE SUITE 200,WEST COVINA,CA,91790,100.0,5.3,5.3,1.2,2.6,40.0,7.0,Not Available,92.9,100.0,100.0,Not Available,96.4,100.0,68.4,14.3,Not Available,"24,278",17.8,72.7
PHYSICIANS CHOICE HOSPICE,6720 VIA AUSTI PKWY STE 250,LAS VEGAS,NV,89119,96.2,21.8,3.5,0.0,12.0,69.2,9.0,51.5,83.1,94.9,97.9,92.6,93.9,98.1,22.5,11.1,97.9,"23,419",6.0,85.2
PHYSICIANS HOSPICE GROUP,4625 1ST STREET,PLEASANTON,CA,94566,100.0,6.3,2.1,0.0,10.4,9.8,10.0,21.5,83.8,100.0,97.6,92.7,100.0,100.0,27.1,14.5,56.3,"16,913",10.6,98.0
PHYSICIANS PREFERRED HOSPICE INC,"6047 TAMPA AVE, SUITE 301",TARZANA,CA,91356,100.0,7.7,2.2,0.3,12.3,79.9,9.0,6.1,92.2,99.8,96.9,95.7,99.5,100.0,35.6,17.1,68.8,"26,269",35.6,74.7
PHYSIOCARE HOSPICE LLC,1440 INNOVATION PLACE,WEST LAFAYETTE,IN,47906,100.0,13.7,2.0,0.0,5.9,46.7,7.0,15.1,93.0,100.0,90.8,100.0,100.0,100.0,35.3,11.9,Not Available,"20,413",4.4,74.1
PIC COMFORT CARE,"560 WALL STREET, SUITE F",AUBURN,CA,95603,98.2,0.0,0.0,0.0,20.0,43.0,8.0,0.8,91.7,100.0,96.9,91.9,100.0,100.0,30.0,17.1,95.5,"14,664",5.9,94.2
PICC HOSPICE,11111 RICHMOND AVE STE 130 ,HOUSTON,TX,77082,96.3,5.4,0.0,0.0,2.7,98.7,6.0,Not Available,88.9,96.3,Not Available,Not Available,96.3,96.3,71.6,6.0,Not Available,"24,227",20.4,50.0
"PIEDMONT HOSPICE & PALLIATIVE, INC","1031 CAMBRIDGE SQUARE, SUITE G",ALPHARETTA,GA,30009,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"PIKE COUNTY HEALTH DEPARTMENT, HOME HEALTH & HOSPI",1 HEALTH CARE PLACE,BOWLING GREEN,MO,63334,100.0,0.0,0.0,0.0,0.0,24.1,9.0,64.4,92.1,100.0,Not Available,Not Available,100.0,97.4,50.0,13.9,Not Available,"9,755",4.9,95.2
PIKES PEAK HOSPICE AND PALLIATIVE CARE,2550 TENDERFOOT HILL ST,COLORADO SPRINGS,CO,80906,100.0,5.3,1.3,3.4,9.3,57.5,10.0,83.7,100.0,100.0,100.0,100.0,100.0,100.0,27.8,13.5,100.0,"10,030",11.1,99.2
"PILGRIM HOSPICE, INC.",125 S LOUISE ST SUITE 120,GLENDALE,CA,91205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"PILLARS HOSPICE CARE, LLC","10221 NORTH 32ND STREET, SUITE H",PHOENIX,AZ,85028,25.8,14.3,14.3,0.0,0.0,77.2,8.0,42.1,22.6,83.9,Not Available,Not Available,93.5,93.5,57.1,7.4,Not Available,"19,518",6.9,79.7
PINEY CREEK HOSPICE CARE,14545 FRIAR ST SUITE 145,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"PINNACLE CARE HOSPICE, INC",4959 PALO VERDE ST. STE. 101B,MONTCLAIR,CA,91763,Not Available,0.0,7.7,0.1,7.7,100,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,53.8,5.3,Not Available,"29,014",21.5,60.0
PINNACLE HOSPICE,"5627 S SHERWOOD FOREST BLVD, STE C",BATON ROUGE,LA,70816,99.2,17.5,2.1,1.1,10.3,30.8,9.0,48.8,96.8,99.6,96.7,100.0,100.0,100.0,34.0,15.5,98.9,"14,933",5.8,98.4
PINNACLE HOSPICE CARE,"2775 COTTAGE WAY, SUITE 18",SACRAMENTO,CA,95825,Not Available,37.5,12.5,0.0,12.5,65.9,6.0,25.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12.5,10.4,Not Available,"35,348",4.5,81.0
PINNACLE HOSPICE CARE OF PORTLAND,"10570 SE WASHINGTON STREET, SUITE 207",PORTLAND,OR,97216,100.0,0.0,6.7,0.0,0.0,62.3,7.0,8.9,89.9,100.0,92.6,97.8,92.9,100.0,60.0,21.4,100.0,"17,938",5.0,85.4
"PINNACLE HOSPICE CARE, LLC","4050 KATELLA AVE, SUITE 209",LOS ALAMITOS,CA,90720,Not Available,0.0,0.0,0.1,0.0,40.0,9.0,73.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55.6,18.7,Not Available,"27,060",18.3,98.0
"PINNACLE HOSPICE, LLC","2605 NICHOLSON ROAD, SUITE 3220",SEWICKLEY,PA,15143,84.2,11.8,6.6,0.0,1.3,53.1,8.0,35.9,72.9,98.5,75.5,98.3,97.0,96.2,34.2,14.1,83.3,"23,376",2.3,83.5
"PINNACLE PALLIATIVE SERVICES, INC.",19737 VENTURA BLVD SUITE 202,WOODLAND HILLS,CA,91364,100.0,0.0,8.3,0.3,0.0,86.2,5.0,Not Available,97.3,100.0,96.6,Not Available,100.0,100.0,91.7,6.7,Not Available,"35,279",12.5,85.7
PIONEER MEDICAL CENTER,301 W 7TH AVE,BIG TIMBER,MT,59011,Not Available,0.0,0.0,2.9,0.0,70.0,10.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,8.9,Not Available,"10,841",22.7,80.0
PIONEER MEMORIAL HOSPICE,162 N MAIN STREET,HEPPNER,OR,97836,96.3,0.0,0.0,0.0,33.3,55.6,8.0,38.7,92.6,96.3,Not Available,95.2,96.3,96.3,0.0,14.0,Not Available,"10,104",5.5,94.1
PIONEER VALLEY HOSPICE & PALLIATIVE CARE,329 CONWAY STREET,GREENFIELD,MA,1301,100.0,0.0,0.0,0.0,7.7,55.6,9.0,66.8,98.2,100.0,98.6,98.5,100.0,100.0,61.5,13.6,100.0,"12,660",15.9,96.2
PJ HOME HEALTH AND HOSPICE,6917 ATWELL DRIVE,HOUSTON,TX,77081,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PLAINS REGIONAL MEDICAL CENTER HOSPICE,2217 DILLON,CLOVIS,NM,88101,100.0,0.0,0.0,0.1,28.6,16.3,9.0,56.8,98.1,100.0,97.2,100.0,100.0,100.0,28.6,18.3,Not Available,"7,809",6.7,93.3
"PLATINUM HOSPICE CARE, INC","4533 VAN NUYS BLVD, SUITE 302",SHERMAN OAKS,CA,91403,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PLATINUM PALLIATIVE & HOSPICE CARE INC,140 SOUTH COLLEGIATE DRIVE SUITE 100,PARIS,TX,75460,99.0,20.9,6.0,0.0,3.0,14.1,7.0,92.2,93.3,100.0,94.6,95.7,100.0,100.0,44.8,11.6,Not Available,"21,897",6.7,99.3
"PLEASANT DAY HOSPICE, INC.",6737 SEPULVEDA BLVD. ,VAN NUYS,CA,91411,100.0,2.3,0.0,0.2,0.0,29.8,9.0,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,46.5,11.2,Not Available,"33,781",26.2,81.8
PM CARE HOSPICE,"5300 SANTA MONICA BLVD, SUITE 416",LOS ANGELES,CA,90029,100.0,1.0,0.3,0.0,0.3,98.6,4.0,Not Available,97.4,100.0,99.6,100.0,100.0,100.0,81.1,7.1,82.1,"42,124",19.1,66.7
PNC PALLIATIVE HOSPICE LLC,8321 WOODWARD STREET ,HOUSTON,TX,77051,Not Available,0.0,0.0,1.0,3.8,100,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,57.7,5.4,Not Available,"26,857",3.2,40.0
PNW HOSPICE LLC,"1313 BROADWAY, STE 500",TACOMA,WA,98402,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
POCONO HEALTH SYSTEM VISITING NURSE & HOSPICE CARE,502 VNA ROAD,EAST STROUDSBURG,PA,18301,94.6,7.5,2.5,4.6,2.5,14.6,10.0,43.4,91.0,96.7,100.0,100.0,99.4,100.0,22.5,20.4,100.0,"7,119",13.5,92.8
POINTE COUPEE HOSPICE,350 HOSPITAL ROAD,NEW ROADS,LA,70760,100.0,0.0,0.0,0.5,6.3,17.4,10.0,63.6,99.0,100.0,100.0,100.0,99.0,100.0,50.0,12.2,100.0,"9,920",6.6,94.2
POLARIS HOSPICE LLC,8751 NORTH 51ST AVENUE SUITE 121-D,GLENDALE,AZ,85302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
POSITIVE NATURE HOSPICE LLC,"7620 N HARTMAN LANE, SUITE 180B",TUCSON,AZ,85743,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PRAIRIE HOME HOSPICE,1108 EAST COLLEGE DRIVE,MARSHALL,MN,56258,100.0,7.7,0.0,0.0,7.7,55.8,8.0,46.7,98.6,100.0,97.5,100.0,100.0,100.0,30.8,2.8,Not Available,"14,880",4.8,99.0
PRAIRIE LAKES HOSPICE,401 9TH AVE NW  POST OFFICE BOX 1210,WATERTOWN,SD,57201,100.0,2.6,0.0,0.9,2.6,9.5,10.0,89.0,93.3,100.0,98.5,99.0,97.5,100.0,17.9,29.5,95.2,"5,714",11.5,98.2
PRAIRIE VIEW HEALTHCARE INC,4811 LAMAR AVE SUITE 4,MISSION,KS,66202,Not Available,1.3,1.3,0.0,3.8,100,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48.8,122.1,Not Available,"36,420",55.3,0.0
PRAIRIE WIND HOSPICE LLC,606 HIGH STREET,BALDWIN,KS,66006,96.4,5.0,0.0,0.0,3.3,44.2,10.0,42.1,92.0,95.5,100.0,100.0,94.6,95.5,51.7,18.2,100.0,"14,142",10.3,93.5
"PRAYER HOSPICE CARE, INC.",6741 VAN NUYS BLVD.,VAN NUYS,CA,91405,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PRAYERS HOSPICE CARE INC,3111 S VALLEY VIEW BLVD. STE 214,LAS VEGAS,NV,89102,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,89.3,92.9,Not Available,Not Available,96.4,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PRAYFUL HOSPICE LLC,2300 VALLEY VIEW LN STE 229 ,IRVING,TX,75062,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PRECEPTOR HOSPICE,W175 N11117 STONEWOOD DR  SUITE 100,GERMANTOWN,WI,53022,100.0,7.9,0.0,0.0,5.3,50.3,10.0,72.3,99.7,100.0,100.0,100.0,99.7,100.0,46.1,16.3,100.0,"19,026",8.8,98.0
PRECIOUS HEARTS HEALTH CARE PROVIDERS LLC,6525 W WARMS SPRINGS RD STE 102,LAS VEGAS,NV,89118,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PRECIOUS HOSPICE,"105 HABERSHAM DRIVE, SUITE D",FAYETTEVILLE,GA,30214,Not Available,5.0,0.0,0.0,5.0,88.6,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25.0,5.7,Not Available,"13,895",8.7,69.2
"PRECIOUS HOSPICE CARE, INC","126 S JACKSON ST, SUITE 307",GLENDALE,CA,91205,100.0,18.2,12.1,0.1,15.2,61.4,6.0,Not Available,90.9,95.5,Not Available,Not Available,95.5,100.0,57.6,10.8,Not Available,"36,972",20.5,100
PRECIOUS LOVE HOSPICE,23800 SUNNYMEAD BLVD SUITE C,MORENO VALLEY,CA,92553,Not Available,16.7,0.0,0.0,16.7,78.6,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50.0,10.1,Not Available,"18,399",12.3,86.7
PRECISE HOSPICE INC,2120 FOOTHILL BLVD SUITE 103,LA VERNE,CA,91750,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PRECISE PERSONALIZED CARE HOSPICE LLC,6009 BELTLINE RD. SUITE 240,DALLAS,TX,75254,100.0,21.8,2.0,1.3,2.0,70.0,9.0,35.2,97.6,100.0,100.0,100.0,97.6,100.0,57.4,9.2,100.0,"25,823",9.1,96.7
PRECISION CARE HOSPICE,"1003 E COOLEY DR, SUITE 201A",COLTON,CA,92324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PREFERRED CARE HOSPICE LLC,1921 WHITTLESEY ROAD STE 110,COLUMBUS,GA,31904,96.9,11.3,3.8,0.0,13.2,56.4,10.0,45.6,89.1,98.4,95.3,96.8,98.4,100.0,30.2,9.3,97.9,"14,792",12.2,87.0
"PREFERRED CARE HOSPICE, INC","11565 LAUREL CANYON BLVD, SUITE 202",SAN FERNANDO,CA,91340,Not Available,0.0,5.9,0.3,0.0,80.8,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,64.7,8.6,Not Available,"34,659",4.7,53.8
PREFERRED HOSPICE,1016 E BROADWAY SUITE 206,GLENDALE,CA,91205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PREFERRED HOSPICE ,1120 BRADSHAW DR,FLORENCE,AL,35630,100.0,23.1,5.1,0.2,12.8,46.6,9.0,89.1,97.8,98.9,100.0,98.2,100.0,100.0,28.2,12.6,100.0,"10,557",9.6,99.4
PREFERRED HOSPICE CARE INC,8170 SAHARA AVE STE 105,LAS VEGAS,NV,89117,Not Available,2.3,0.0,0.1,2.3,60.3,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.2,13.9,Not Available,"39,297",13.4,66.7
PREFERRED HOSPICE OF MISSOURI,810 PROGRESS DRIVE,FARMINGTON,MO,63640,99.7,6.2,1.2,0.0,7.4,5.1,8.0,22.2,96.5,99.3,99.5,100.0,98.3,99.7,59.3,16.7,95.6,"16,673",2.4,90.3
PREFERRED HOSPICE OF MISSOURI (CENTRAL),1900 NORTH PROVIDENCE ROAD  SUITE 311,COLUMBIA,MO,65202,100.0,0.0,4.3,0.1,8.7,15.7,9.0,13.0,88.0,99.2,91.4,100.0,96.0,100.0,52.2,14.8,85.7,"15,011",2.7,80.0
"PREFERRED HOSPICE OF MISSOURI (NORTHEAST), LLC","301 SOUVEREIGN COURT, SUITE 206",BALLWIN,MO,63011,100.0,0.0,0.0,0.0,6.7,8.5,8.0,39.3,93.2,100.0,100.0,100.0,100.0,100.0,53.3,15.2,80.0,"18,007",4.3,84.1
"PREFERRED HOSPICE OF MISSOURI (SOUTHWEST), LLC",5340 N TOWNE CENTRE DR,OZARK,MO,65721,99.3,10.3,2.9,0.0,2.9,2.6,8.0,42.3,97.0,99.3,99.2,98.6,98.7,99.7,60.3,10.8,100.0,"19,389",4.6,93.0
"PREMIER AT HOME HOSPICE & PALLIATIVE CARE, LLC",23135 21 MILE RD,MACOMB,MI,48042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PREMIER HOSPICE,"33259 DEQUINDRE RD, SUITE C",TROY,MI,48083,99.3,25.0,15.6,0.0,12.5,60.3,6.0,45.3,96.4,100.0,95.1,96.3,100.0,100.0,25.0,11.5,100.0,"14,781",2.9,91.7
PREMIER HOSPICE,4606 FARM TO MARKET 1960 RD W STE 675,HOUSTON,TX,77069,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PREMIER HOSPICE,4606 FM 1960 W ROAD STE 675,HOUSTON,TX,77069,100.0,5.3,0.0,0.2,2.6,84.6,7.0,Not Available,93.5,96.8,Not Available,Not Available,100.0,100.0,39.5,8.9,Not Available,"21,221",3.7,73.9
PREMIER HOSPICE,"600 FACTORY OUTLET DRIVE, SUITE 15",ARCADIA,LA,71001,100.0,10.0,0.0,0.0,12.5,37.0,10.0,57.8,97.4,99.1,95.0,96.6,99.1,100.0,40.0,12.3,Not Available,"15,576",5.8,88.8
PREMIER HOSPICE & HOME CARE,23300 CINEMA DR SUITE 285,VALENCIA,CA,91355,97.3,5.3,5.3,0.1,0.0,26.3,9.0,11.9,73.0,86.5,Not Available,100.0,91.9,100.0,47.4,40.6,90.0,"20,293",6.3,98.2
"PREMIER HOSPICE, INC.",19355 BUSINESS CENTER DR,NORTHRIDGE,CA,91324,100.0,9.7,0.0,0.5,0.0,93.4,8.0,10.5,78.6,100.0,100.0,Not Available,100.0,100.0,58.1,9.4,Not Available,"29,492",22.7,77.8
"PREMIER HOSPICE, LLC",1513 TEXAS AVENUE,BASTROP,LA,71220,100.0,19.6,4.3,0.1,17.4,11.0,7.0,53.9,97.3,99.1,100.0,96.8,98.2,100.0,26.1,11.0,100.0,"11,627",4.0,98.6
PREMIER PALLIATIVE & HOSPICE CARE INC.,23822 INDIAN HILLS WAY,KATY,TX,77494,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"PREMIERE HOSPICE AND PALLATIVE CARE, INC",18645 SHERMAN WAY,RESEDA,CA,91335,100.0,0.0,0.0,0.2,14.8,93.3,6.0,Not Available,87.0,100.0,100.0,Not Available,100.0,100.0,33.3,2.7,Not Available,"19,113",19.2,35.0
"PREMIUM HOSPICE, INC.","12241 FIRESTONE BLVD., SUITE A & B",NORWALK,CA,90650,100.0,4.8,0.0,0.1,4.8,40.8,9.0,33.7,100.0,100.0,100.0,100.0,100.0,100.0,61.9,13.4,Not Available,"22,432",7.0,93.9
PRESBYTERIAN HOMES HOSPICE INC,2845 HAMLINE AVENUE NORTH,ROSEVILLE,MN,55113,100.0,5.0,0.7,0.0,1.4,68.3,10.0,87.4,99.8,100.0,100.0,99.7,100.0,100.0,47.9,15.5,100.0,"21,816",5.2,95.4
PRESBYTERIAN HOSPICE INPATIENT UNIT,8300 CONSTITUTION AVENUE NE,ALBUQUERQUE,NM,87110,99.1,2.0,0.0,1.6,12.8,62.5,10.0,42.0,97.0,99.8,98.1,99.7,99.5,99.9,27.5,11.4,100.0,"8,688",8.4,87.9
PRESBYTERIAN HOSPICE OF NORTHERN NM,1400 CHAMA AVE,SANTA FE,NM,87505,100.0,2.6,0.0,0.3,12.8,66.0,10.0,49.8,100.0,100.0,100.0,100.0,100.0,100.0,20.5,11.0,100.0,"12,220",13.9,85.1
PRESTIGE HEALTH HOSPICE,4555 S PALO VERDE RD SUITE 163,TUCSON,AZ,85714,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70.4,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
