Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents),Latitude,Longitude
SANFORD HOME CARE,910 18TH STREET NW,MANDAN,ND,58554,100.0,0.0,0.0,3.9,6.9,22.4,10.0,79.9,97.5,99.7,99.6,98.7,99.4,100.0,6.9,21.0,99.4,"4,519",12.8,96.9,46.742723,-100.9353
SANFORD HOME HEALTH AND HOSPICE SHELDON,"118 NORTH SEVENTH STREET, PO BOX 250",SHELDON,IA,51201,100.0,7.1,7.1,0.0,7.1,35.0,8.0,46.5,96.4,98.2,100.0,100.0,98.2,100.0,42.9,14.3,Not Available,"9,847",3.0,92.1,43.177816,-95.866098
SANFORD HOSPICE,2710 W 12TH STREET,SIOUX FALLS,SD,57104,100.0,0.0,0.0,0.4,4.7,35.0,10.0,58.4,97.2,98.6,99.5,99.2,99.6,100.0,21.2,34.2,99.4,"7,117",23.4,93.8,43.604785,-96.707425
SANGRE DE CRISTO HOSPICE & PALLIATIVE CARE,1920 VALLEY DR,PUEBLO,CO,81008,99.1,6.6,1.9,1.6,12.3,60.8,10.0,75.6,96.8,99.8,99.2,100.0,98.3,100.0,33.5,10.8,97.8,"11,971",8.1,99.2,38.441619,-104.621526
"SANS BOIS HOSPICE, LLC","901 EAST MAIN STREET, SUITE A",STIGLER,OK,74462,93.0,19.6,2.2,0.0,6.5,46.0,9.0,17.6,76.2,97.8,87.3,100.0,91.4,99.5,38.0,12.6,83.3,"18,046",4.8,92.1,35.29092,-95.164244
"SANTA ANA HOSPICE, INC",610 PACIFIC COAST HIGHWAY SUITE 211,SEAL BEACH,CA,90740,Not Available,1.3,1.3,0.0,1.3,87.9,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50.0,7.7,Not Available,"31,251",26.5,75.0,33.758405,-118.075043
SANTA BARBARA HOSPICE AND PALLIATIVE CARE INC,3892 STATE ST STE 210,SANTA BARBARA,CA,93105,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.533222,-119.791731
"SANTA ISABEL HOSPICE, INC",18401 BURBANK BLVD SUITE 117A,TARZANA,CA,91356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155097,-118.547553
SANTA KATHARINA HOSPICE CARE INC.,18455 BURBANK BLVD,TARZANA,CA,91356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155097,-118.547553
"SANTA MARIA HOSPICE, INC",222 W CARMEN LANE SUITE #206,SANTA MARIA,CA,93458,100.0,10.0,0.0,0.0,10.0,79.2,8.0,13.6,90.7,100.0,Not Available,Not Available,100.0,100.0,10.0,9.0,Not Available,"18,318",4.7,60.5,34.95934,-120.490081
SANTA RITA HOME HEALTH SERVICES,"10803 GULFDALE STREET, SUITE 250",SAN ANTONIO,TX,78216,Not Available,6.4,0.0,0.0,0.9,73.0,6.0,66.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.9,8.0,Not Available,"30,648",2.5,97.2,29.537264,-98.487882
SANTA ROSA HOSPICE,17215 STUDEBAKER RD. SUITE 395,CERRITOS,CA,90703,100.0,7.7,15.4,0.2,23.1,21.6,8.0,31.4,98.0,100.0,100.0,100.0,98.0,100.0,46.2,16.4,Not Available,"19,326",14.5,97.8,33.867743,-118.069472
SANTA TERESA HOSPICE CARE,18401 BURBANK BLVD SUITE 117,TARZANA,CA,91356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155097,-118.547553
"SANTA YEKATERINA HOSPICE, INC.",5958 VINELAND AVENUE SUITE J,N HOLLYWOOD,CA,91601,Not Available,4.2,0.0,0.0,4.2,96.4,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62.5,6.6,Not Available,"38,052",15.6,75.0,34.1692,-118.372498
SAPPHIRE HOSPICE,"3377 SOUTH PRICE ROAD, SUITE 3060",CHANDLER,AZ,85248,100.0,0.0,0.0,0.0,0.0,51.2,9.0,55.0,95.3,100.0,100.0,Not Available,95.3,100.0,50.0,22.8,Not Available,"19,317",11.8,72.0,33.214955,-111.869973
SARAH BUSH LINCOLN HOSPICE,1004 HEALTH CENTER DRIVE SUITE 202,MATTOON,IL,61938,100.0,5.2,2.6,0.1,5.2,14.0,10.0,70.7,96.4,100.0,96.0,96.3,99.8,100.0,18.2,23.1,98.8,"6,420",10.8,94.2,39.484141,-88.374771
"SAUNDERS HOSPICE, LLC","9017 RESEDA BLVD, SUITE 209",NORTHRIDGE,CA,91324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.238208,-118.55029
SAVANNAH HOSPICE AND PALLIATIVE CARE INC.,1505 HIGHWAY 6 S STE 215,HOUSTON,TX,77077,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.750233,-95.615383
SAVIOR HOSPICE,14780 W MOUNTAIN VIEW BLVD STE 206,SURPRISE,AZ,85374,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.640996,-112.37833
SAVIOR HOSPICE ,"4530 EAST SHEA BOULEVARD, SUITE 160",PHOENIX,AZ,85028,98.1,10.9,2.1,0.1,5.0,78.9,9.0,56.8,91.7,98.5,97.9,89.8,98.5,99.4,42.3,7.5,100.0,"18,585",5.4,93.0,33.57574,-112.008409
SAVIOR HOSPICE CARE INC,2209 JEFFERSON ST,NAPA,CA,94559,Not Available,0.0,0.0,0.0,13.8,37.3,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6,14.5,Not Available,"29,567",23.1,94.7,38.245724,-122.313405
SAVIORS OF HOPE HOSPICE,14545 FRIAR ST SUITE 205-O,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178522,-118.459234
SCENIC HEALTHCARE HOSPICE LLC,"1292 FM 157, SUITE 110 ",MANSFIELD ,TX,76063,100.0,11.1,3.7,0.1,14.8,71.6,8.0,76.2,96.1,98.0,97.7,100.0,98.0,100.0,29.6,7.9,Not Available,"15,533",8.5,96.1,32.57074,-97.144837
SCHNECK MEDICAL CENTER HOSPICE,415 S WALNUT STREET,SEYMOUR,IN,47274,100.0,0.0,0.0,0.3,5.6,52.7,10.0,49.6,99.0,100.0,100.0,99.5,100.0,100.0,33.3,12.4,100.0,"9,475",4.6,89.2,38.966511,-85.937722
SCHOOLCRAFT MEMORIAL HOMECARE AND HOSPICE,7870 W US HWY 2,MANISTIQUE,MI,49854,100.0,25.0,0.0,0.0,0.0,24.3,8.0,46.7,94.0,100.0,92.9,96.0,100.0,100.0,25.0,16.8,100.0,"8,660",12.5,93.1,46.061609,-86.304483
SCISSORTAIL HOSPICE,"306 N MAIN, SUITE E",BRISTOW,OK,74010,97.7,18.2,0.0,0.0,0.0,83.3,7.0,23.6,77.3,100.0,100.0,73.1,97.7,100.0,45.5,7.9,Not Available,"15,563",5.6,90.5,35.814546,-96.363831
SCOTTSDALE HOSPICE OF THE VALLEY,16117 NORTH 76TH ST,SCOTTSDALE,AZ,85260,99.9,1.5,0.6,1.8,7.6,60.3,10.0,47.2,97.6,99.7,98.8,98.2,99.4,100.0,47.7,12.7,98.7,"15,326",9.3,92.6,33.610739,-111.891472
SCV HOSPICE CARE,27013 LANGSIDE AVE,CANYON COUNTRY,CA,91351,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.441596,-118.448109
SD HOSPICE INC,"10620 TREENA STREET, SUITE 230",SAN DIEGO,CA,92131,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.88607,-117.085982
"SDKJ FOREVER, LLC","11428 EAST ARTESIA BLVD, SUITE 26",ARTESIA,CA,90701,100.0,0.0,7.7,0.2,7.7,81.4,7.0,Not Available,86.2,100.0,95.7,Not Available,100.0,100.0,69.2,11.7,Not Available,"39,280",19.1,86.2,33.8676,-118.080612
SEA COAST HOSPICE CARE INC,8380 MIRAMAR MALL,SAN DIEGO,CA,92121,100.0,10.2,0.5,0.1,10.7,86.6,9.0,15.8,94.0,100.0,100.0,92.8,99.5,100.0,32.1,9.5,95.0,"25,490",8.4,79.3,32.899592,-117.201203
SEAPORT HOSPICE,"3750 CONVOY STREET, SUITE 220B",SAN DIEGO,CA,92111,96.2,10.1,2.2,0.1,10.9,48.3,10.0,34.8,95.6,99.7,100.0,100.0,100.0,97.5,37.7,12.0,100.0,"17,102",6.8,93.7,32.806476,-117.168879
"SEASON'S HOSPICE, INC.",6532 E 71ST STREET #101,TULSA,OK,74133,99.8,19.2,3.9,0.0,4.9,17.1,9.0,64.3,97.2,99.7,98.1,99.5,99.3,100.0,35.0,12.5,98.2,"11,870",7.2,99.1,36.039284,-95.877444
SEASONS HOSPICE,1696 GREENVIEW DRIVE SOUTHWEST,ROCHESTER,MN,55902,100.0,3.0,4.5,0.1,6.0,43.1,10.0,68.2,87.2,100.0,87.6,100.0,92.9,100.0,41.8,19.4,99.0,"13,640",11.8,95.3,43.971218,-92.507094
SEASONS HOSPICE,1903 NORTH MAIN STREET,MUSKOGEE,OK,74401,99.0,16.9,1.7,0.0,3.4,32.3,9.0,42.5,97.0,100.0,98.5,100.0,100.0,100.0,35.6,9.6,98.6,"14,542",5.5,98.3,35.723078,-95.4677
SEASONS HOSPICE & PALLIATIVE CARE OF MICHIGAN,27355 JOHN R RD,MADISON HEIGHTS,MI,48071,99.8,7.5,3.7,1.3,8.2,82.0,10.0,45.6,98.7,99.6,99.5,100.0,99.7,99.9,34.3,9.8,98.8,"16,395",11.4,89.7,42.507266,-83.103371
SEASONS HOSPICE & PALLIATIVE CARE OF NEW JERSEY LL,"2147 ROUTE 27 SOUTH, SUITE 101",EDISON,NJ,08817,99.7,17.3,1.9,5.5,15.4,65.9,8.0,51.6,99.7,100.0,100.0,100.0,99.7,100.0,19.2,11.6,100.0,"11,506",6.2,92.5,40.514658,-74.393104
"SEASONS HOSPICE, INC",1831 W MELVILLE ROAD,SPRINGFIELD,MO,65803,99.8,8.7,1.3,0.0,4.7,9.8,10.0,79.3,98.1,100.0,99.0,100.0,99.3,100.0,56.0,16.2,99.1,"15,050",6.4,98.7,37.283189,-93.289821
"SEASONS OF LIFE HOSPICE, LLC",23832 ROCKFIELD BLVD SUITE 135,LAKE FOREST,CA,92630,Not Available,20.0,10.0,0.0,10.0,88.0,6.0,64.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.0,14.2,Not Available,"26,364",6.2,97.3,33.645736,-117.685503
SEBASTIAN HOSPICE CARE INC,1720 EAST LOS ANGELES AVENUE SUITE #218,SIMI VALLEY,CA,93065,Not Available,0.0,0.0,0.2,0.0,84.8,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48.1,130.9,Not Available,"20,786",1.2,80.0,34.258405,-118.775026
SECURE HOSPICE INC,16946 SHERMAN WAY SUITE 222,VAN NUYS,CA,91406,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.195685,-118.490752
"SEHAJ HOSPICE CARE, INC","44790 S GRIMMER BLVD, SUITE 207",FREMONT,CA,94538,Not Available,7.1,0.0,0.0,7.1,50.0,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.3,17.8,Not Available,"16,501",16.0,100,37.501368,-121.956753
"SELAH HOSPICE CARE,  INC.",420 W. SAM HOUSTON BLVD SUITE B,PHARR,TX,78577,95.6,10.0,5.0,0.0,0.0,58.1,9.0,51.0,73.3,100.0,80.0,88.9,97.8,100.0,40.0,10.7,Not Available,"22,698",3.7,98.4,26.15153,-98.189752
SELECT HOME HOSPICE,65 S SYCAMORE STE 2B,MESA,AZ,85202,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.379757,-111.875018
SELECT HOSPICE LLC,650 E CARMEL DRIVE  STE 420,CARMEL,IN,46032,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39.962604,-86.174761
"SELECTIVE CARE HOSPICE, INC.",315 W VERDUGO AVE,BURBANK,CA,91502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.176817,-118.309323
"SELECTIVE HOSPICE, INC",11712 MOORPARK ST SUITE 212B,STUDIO CITY,CA,91604,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.140822,-118.392864
SELF-HELP HOME CARE & HOSPICE,"731 SANSOME STREET, SUITE 100",SAN FRANCISCO,CA,94111,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.799367,-122.398407
SENDERO DE LUZ HOSPICE,GEORGETTI STREET 9 ALTOS,COMERIO,PR,00782,97.6,0.0,3.3,0.0,0.0,1.6,9.0,39.4,96.8,100.0,99.1,100.0,100.0,100.0,56.7,24.4,Not Available,"5,921",2.8,83.7,18.225708,-66.221633
"SENIOR CARE LIVING SOLUTIONS, LLC","1611 POMONA ROAD, SUITE 202",CORONA,CA,92880,99.0,8.0,0.0,0.0,6.7,99.4,6.0,3.2,97.9,99.0,100.0,Not Available,99.0,99.0,52.0,3.7,Not Available,"29,366",13.2,60.5,33.925311,-117.607297
SENIOR HOSPICE,"23331 EL TORO RD, SUITE 217-B",LAKE FOREST,CA,92630,57.7,11.1,2.8,0.3,0.0,69.0,9.0,0.0,40.4,100.0,91.7,63.6,100.0,98.1,52.8,10.6,Not Available,"27,573",16.5,95.5,33.645736,-117.685503
SENIOR SOLUTIONS INC,1554 HARRISON AVENUE,BUTTE,MT,59701,57.4,3.6,7.1,0.0,10.7,69.8,9.0,46.8,42.6,98.5,90.9,90.9,85.3,97.1,35.7,14.0,Not Available,"15,625",7.0,91.2,46.035043,-112.47572
SENTARA HOME CARE SERVICES,871 MARTIN LUTHER KING JR WAY SUITE 203,HARRISONBURG,VA,22801,99.4,11.7,11.7,0.0,3.3,31.4,9.0,35.3,99.2,100.0,100.0,100.0,100.0,99.2,26.7,14.3,100.0,"11,953",5.3,89.2,38.403645,-78.875125
SENTARA HOME CARE SERVICES - CHESAPEAKE,"535 INDEPENDENCE PARKWAY, SUITE 500",CHESAPEAKE,VA,23320,99.2,8.9,2.2,0.7,12.4,69.8,10.0,47.5,98.3,99.9,99.7,99.7,99.5,100.0,21.3,12.9,100.0,"7,315",12.6,90.6,36.751734,-76.217637
SENTARA HOME CARE SERVICES - NEWPORT NEWS,"11844 ROCK LANDING DRIVE, SUITE C",NEWPORT NEWS,VA,23606,99.8,2.9,1.4,0.4,10.1,37.9,10.0,62.3,98.9,100.0,99.2,100.0,99.5,100.0,20.3,14.1,100.0,"7,793",9.8,93.0,37.064408,-76.521638
SENTARA HOSPICE (HALIFAX),2200 WILBORN AVE,SOUTH BOSTON,VA,24592,99.5,0.0,0.0,0.5,5.6,42.4,10.0,44.9,97.3,100.0,97.9,100.0,98.9,100.0,19.4,15.7,100.0,"7,578",8.8,93.5,36.675795,-78.965555
"SEONA HOSPICE CARE, INC",8363 RESEDA BLVD UNIT 206,NORTHRIDGE,CA,91324,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.8,100.0,100.0,100.0,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.238208,-118.55029
SEQUOIA HOSPICE,"920 HILLVIEW COURT, SUITE 135",MILPITAS,CA,95035,98.7,9.9,5.3,0.0,17.6,16.3,8.0,31.5,98.7,99.8,100.0,99.6,100.0,99.8,28.2,14.3,100.0,"25,823",9.3,93.9,37.444349,-121.868859
SEQUOIA HOSPICE EAST BAY,"1470 CIVIC COURT, SUITE 310",CONCORD,CA,94520,Not Available,0.0,0.0,0.0,0.0,68.2,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.7,8.5,Not Available,"26,607",10.7,82.4,37.995285,-122.040627
SEQUOIA HOSPICE INC,55 SHAW AVE SUITE 112,CLOVIS,CA,93612,Not Available,11.1,0.0,0.0,0.0,88.2,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,44.4,7.7,Not Available,"23,572",3.8,100,36.814864,-119.710596
SERAFIM HOSPICE INC,4419 VAN NUYS BLVD SUITE 401,SHERMAN OAKS,CA,91403,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.147149,-118.463365
SERANI HOSPICE,14545 FRIAR ST SUITE 237F,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178522,-118.459234
"SERENE HOSPICE CARE, INC","3131 FOOTHILL BLVD, UNIT J",LA CRESCENTA,CA,91214,Not Available,6.3,0.0,1.9,0.0,77.3,10.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.3,12.3,Not Available,"24,227",11.4,94.4,34.236302,-118.249185
"SERENE HOSPICE, LLC","20953 DEVONSHIRE, SUITE 5",CHATSWORTH,CA,91311,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.293338,-118.603118
"SERENE PALLIATIVE CARE & HOSPICE, INC.",345 RIVERVIEW ST,WICHITA,KS,67203,94.0,0.0,0.0,0.0,12.5,39.0,10.0,60.0,86.0,98.0,95.8,100.0,96.0,96.0,37.5,23.4,Not Available,"9,849",6.5,93.3,37.700763,-97.365701
SERENE TRANSITIONAL HOSPICE,"2470 WINDY HILL ROAD, SUITE 126",MARIETTA,GA,30067,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.934278,-84.462185
SERENITY AND GRACE HOSPICE CARE LLC, 941 DELAINE DR ,CORPUS CHRISTI,TX,78411,100.0,12.8,0.0,0.1,8.5,81.6,8.0,26.5,97.7,97.7,100.0,100.0,100.0,100.0,48.9,6.7,Not Available,"24,304",6.8,67.5,27.729894,-97.385247
SERENITY BAY HOSPICE ,"2398 LENORA CHURCH ROAD, SUITE 103",SNELLVILLE,GA,30078,Not Available,0.0,0.0,0.1,13.3,96.3,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60.0,9.2,Not Available,"16,581",12.6,94.4,33.861019,-84.017993
"SERENITY CARE SOLUTIONS, LLC",607 E WALLISVILLE RD,HIGHLANDS,TX,77562,97.5,9.1,3.0,0.2,3.0,77.2,8.0,17.6,90.0,100.0,95.8,100.0,98.8,98.8,43.9,8.5,Not Available,"27,105",4.2,79.3,29.834034,-95.051267
SERENITY FIRST LLC,4915 FITZHUGH AVENUE ,RICHMOND,VA,23230,Not Available,8.3,0.0,0.0,11.1,36.0,10.0,39.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.1,13.2,Not Available,"16,500",4.9,89.7,37.586639,-77.489122
SERENITY HILLS HOSPICE INC,120 N VICTORY BLVD SUITE 309,BURBANK,CA,91502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.176817,-118.309323
SERENITY HOME CARE SERVICES,107 CALLE DEL NORTE STE. 11 B,LAREDO,TX,78041,Not Available,14.3,9.5,0.0,14.3,21.9,7.0,10.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38.1,14.7,Not Available,"13,651",6.1,87.8,27.545398,-99.462022
"SERENITY HOME HOSPICE, LLC",1711 MONROE ST,DEARBORN ,MI,48124,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.298036,-83.24761
SERENITY HOSPICE,"1020 GREEN ACRES ROAD, SUITE 12",EUGENE,OR,97408,99.3,3.3,0.0,0.0,0.0,72.2,8.0,69.4,99.3,100.0,100.0,100.0,100.0,100.0,73.3,14.9,100.0,"20,660",5.9,94.0,44.142995,-123.058241
SERENITY HOSPICE,"11481 SW HALL BOULEVARD, SUITE 200",TIGARD,OR,97223,100.0,5.8,1.9,0.0,5.8,76.4,10.0,64.3,99.6,100.0,98.8,100.0,100.0,100.0,40.4,10.6,100.0,"19,816",9.1,93.4,45.44029,-122.776604
SERENITY HOSPICE,3331 STREET ROAD SUITE 101,BENSALEM,PA,19020,92.5,17.6,3.5,0.0,8.5,80.2,9.0,48.1,80.0,93.7,94.8,82.3,96.1,98.6,23.2,10.1,98.4,"13,987",6.7,80.4,40.100591,-74.938934
SERENITY HOSPICE,"3501 FAIRVIEW DRIVE SE, SUITE 140",SALEM,OR,97302,100.0,6.9,3.9,0.0,2.9,58.7,10.0,69.1,99.7,100.0,100.0,100.0,100.0,99.7,41.2,10.8,100.0,"13,270",10.3,95.2,44.903103,-123.064528
SERENITY HOSPICE,"4491 DARROW ROAD, SUITE 1",STOW,OH,44224,91.4,9.5,2.4,0.6,7.1,55.8,9.0,16.8,74.3,92.8,96.4,79.5,98.7,97.4,28.6,11.8,Not Available,"17,777",4.2,88.0,41.176261,-81.436523
SERENITY HOSPICE,489 AGNES STREET SUITE 100,BASTROP,TX,78602,95.7,16.7,0.0,0.0,4.8,92.2,6.0,48.8,91.3,95.7,Not Available,Not Available,95.7,100.0,45.2,6.4,Not Available,"30,715",6.2,75.0,30.12382,-97.32771
SERENITY HOSPICE,5059 S LAKEWOOD RD ,FORT MOHAVE ,AZ,86426,100.0,11.1,0.0,0.0,11.1,91.2,8.0,88.5,97.9,100.0,100.0,97.4,100.0,100.0,22.2,9.6,Not Available,"13,752",8.1,100,35.007773,-114.569324
SERENITY HOSPICE,700 PENNSYLVANIA AVE,FORT WORTH,TX,76104,100.0,8.3,8.3,0.0,16.7,94.7,5.0,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,25.0,6.0,Not Available,"16,401",6.4,100,32.728688,-97.317801
SERENITY HOSPICE AND HOME,1658 S ILLINOIS ROUTE 2,OREGON,IL,61061,99.8,2.5,1.3,0.6,5.0,46.6,10.0,77.0,99.8,100.0,100.0,100.0,100.0,100.0,28.8,23.2,100.0,"10,672",13.6,96.1,41.997917,-89.341656
SERENITY HOSPICE AND PALLIATIVE CARE,"9017 RESEDA BLVD SUITE 211, NORTHRIDGE",NORTHRIDGE,CA,91324,100.0,40.0,0.0,1.1,10.0,61.5,9.0,Not Available,88.9,100.0,96.9,Not Available,100.0,100.0,10.0,14.7,Not Available,"11,651",20.6,83.3,34.238208,-118.55029
SERENITY HOSPICE AND PALLIATIVE CARE OF TEXAS,928 WAVERLY AVE.,SAN ANTONIO,TX,78201,Not Available,25.0,0.0,0.0,0.0,88.0,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50.0,10.3,Not Available,"21,296",4.0,100,29.468413,-98.528889
SERENITY HOSPICE CARE,1420 N. CLAREMONT BLVD SUITE 104-A,CLAREMONT,CA,91711,100.0,11.1,5.6,0.1,5.6,80.5,8.0,27.7,78.4,100.0,100.0,96.2,100.0,100.0,44.4,9.2,Not Available,"17,493",3.2,88.7,34.128066,-117.714773
SERENITY HOSPICE CARE,"33620 FIVE MILE RD, SUITE C",LIVONIA,MI,48154,100.0,11.1,0.0,0.0,11.1,84.1,6.0,47.8,100.0,100.0,100.0,100.0,100.0,100.0,33.3,7.2,Not Available,"21,869",12.2,73.7,42.397183,-83.372319
SERENITY HOSPICE CARE,56 GEORGETOWN ROAD,BORDENTOWN,NJ,08505,99.4,10.4,2.9,0.7,13.9,86.5,5.0,23.7,97.6,99.9,99.0,99.8,98.8,100.0,31.9,7.0,99.8,"17,226",3.2,72.8,40.103026,-74.733455
"SERENITY HOSPICE CARE PROVIDER, INC","2139 TAPO STREET, SUITE 212",SIMI VALLEY,CA,93063,100.0,14.3,11.4,0.2,11.4,87.3,8.0,30.2,92.9,100.0,96.0,Not Available,100.0,100.0,45.7,11.4,Not Available,"25,010",12.2,91.1,34.308729,-118.687223
SERENITY HOSPICE GROUP INC,17100 NORWALK BLVD SUITE 110,CERRITOS,CA,90703,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.867743,-118.069472
SERENITY HOSPICE HOMES LLC,8948 STRATFORD COURT,BROOKLYN PARK,MN,55443,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,45.117609,-93.338118
